date,strategy,weekly_return,rebalance_month,wealth
2022-01-07,Rolling MVPO,-0.010048082638976007,2022-01,0.989951917361024
2022-01-14,Rolling MVPO,0.003204606045385269,2022-01,0.9931243232600397
2022-01-21,Rolling MVPO,0.0014898827885404297,2022-01,0.9946039620961457
2022-01-28,Rolling MVPO,-0.0047022826611477705,2022-01,0.989927053130472
2022-02-04,Rolling MVPO,-0.004144517317055781,2022-02,0.9858242833161508
2022-02-11,Rolling MVPO,0.000677087085287348,2022-02,0.9864917722067467
2022-02-18,Rolling MVPO,0.0017359048602238073,2022-02,0.9882042280686912
2022-02-25,Rolling MVPO,0.0008908861392917012,2022-02,0.9890846055182672
2022-03-04,Rolling MVPO,0.027421770201101724,2022-03,1.0162070562802363
2022-03-11,Rolling MVPO,-0.017243954681708154,2022-03,0.9986836278545079
2022-03-18,Rolling MVPO,-0.0043800603727733554,2022-03,0.9943093332712049
2022-03-25,Rolling MVPO,-0.0032802167902013955,2022-03,0.9910477831015547
2022-04-01,Rolling MVPO,7.534196341392333e-05,2022-04,0.9911224505873706
2022-04-08,Rolling MVPO,-0.012053989252635212,2022-04,0.979175471219945
2022-04-15,Rolling MVPO,0.002013022452086494,2022-04,0.981146573428043
2022-04-22,Rolling MVPO,-0.01405669983720129,2022-04,0.9673548905490664
2022-04-29,Rolling MVPO,-0.003111625545661939,2022-04,0.964344844359913
2022-05-06,Rolling MVPO,-0.0064565342177829044,2022-05,0.9581185188745607
2022-05-13,Rolling MVPO,-0.00197051020622517,2022-05,0.956230536554345
2022-05-20,Rolling MVPO,0.0052157481928739105,2022-05,0.9612179942473491
2022-05-27,Rolling MVPO,0.018437637434170023,2022-05,0.9789405831204817
2022-06-03,Rolling MVPO,-0.008129831982789392,2022-06,0.9709819606585783
2022-06-10,Rolling MVPO,-0.012954329831103053,2022-06,0.958403540080156
2022-06-17,Rolling MVPO,-0.016522456912087084,2022-06,0.94256835888479
2022-06-24,Rolling MVPO,0.0024610504533390466,2022-06,0.9448880671717265
2022-07-01,Rolling MVPO,0.000699616392401568,2022-07,0.9455491263525044
2022-07-08,Rolling MVPO,-0.012344103978017709,2022-07,0.9338771696204854
2022-07-15,Rolling MVPO,0.0003877547038290143,2022-07,0.9342392848858043
2022-07-22,Rolling MVPO,0.010333084036915182,2022-07,0.9438928579271169
2022-07-29,Rolling MVPO,0.014507745769467322,2022-07,0.9575866155435394
2022-08-05,Rolling MVPO,-0.009576163977113934,2022-08,0.9484166090908049
2022-08-12,Rolling MVPO,0.011054953664776863,2022-08,0.9589013107592086
2022-08-19,Rolling MVPO,-0.015659181667867242,2022-08,0.943885700932474
2022-08-26,Rolling MVPO,-0.003108166302929129,2022-08,0.9409519472030191
2022-09-02,Rolling MVPO,-0.017081056712239775,2022-09,0.9248794936293518
2022-09-09,Rolling MVPO,0.0005019162871580621,2022-09,0.9253437057108629
2022-09-16,Rolling MVPO,-0.01472551771678637,2022-09,0.9117175405783009
2022-09-23,Rolling MVPO,-0.02029270890766402,2022-09,0.8932163219213342
2022-09-30,Rolling MVPO,-0.005848254372157215,2022-09,0.8879925656613755
2022-10-07,Rolling MVPO,0.008159433400973498,2022-10,0.8952380818614492
2022-10-14,Rolling MVPO,-0.015760356024952647,2022-10,0.881128810964217
2022-10-21,Rolling MVPO,-0.0030823951200551094,2022-10,0.8784128238171609
2022-10-28,Rolling MVPO,0.014135745499874926,2022-10,0.8908298439384668
2022-11-04,Rolling MVPO,-8.550201368652489e-05,2022-11,0.890753676192958
2022-11-11,Rolling MVPO,0.02479820306651717,2022-11,0.9128427667374377
2022-11-18,Rolling MVPO,-0.001846598130398188,2022-11,0.9111571129910327
2022-11-25,Rolling MVPO,0.007500985057095889,2022-11,0.9179916888802452
2022-12-02,Rolling MVPO,0.013846685970939321,2022-12,0.9307028315201022
2022-12-09,Rolling MVPO,-0.008012388447867105,2022-12,0.9232456789044333
2022-12-16,Rolling MVPO,0.0029949180818874977,2022-12,0.9260107240822087
2022-12-23,Rolling MVPO,-0.0071551088575345,2022-12,0.9193850165481563
2022-12-30,Rolling MVPO,-0.004945414030887532,2022-12,0.9148382769875313
2023-01-06,Rolling MVPO,0.017864148070629745,2023-01,0.9311810834283162
2023-01-13,Rolling MVPO,0.015864978648209942,2023-01,0.9459542514345234
2023-01-20,Rolling MVPO,0.0014563194870773769,2023-01,0.9473318630447711
2023-01-27,Rolling MVPO,-0.0011288174720232036,2023-01,0.9462624982859619
2023-02-03,Rolling MVPO,-0.010050488354142134,2023-02,0.9367520980669773
2023-02-10,Rolling MVPO,-0.009341270177680615,2023-02,0.9280016436294245
2023-02-17,Rolling MVPO,-0.006578245600549759,2023-02,0.9218970208999163
2023-02-24,Rolling MVPO,-0.009483837589301915,2023-02,0.9131538992796402
2023-03-03,Rolling MVPO,0.007589489213682527,2023-03,0.9200842709486552
2023-03-10,Rolling MVPO,0.0021386276689517175,2023-03,0.9220519886282732
2023-03-17,Rolling MVPO,0.014076441813477135,2023-03,0.9350311997952
2023-03-24,Rolling MVPO,0.0054016580298567995,2023-03,0.9400819185837404
2023-03-31,Rolling MVPO,0.0034946641008303057,2023-03,0.9433671891164546
2023-04-07,Rolling MVPO,0.00695674489027999,2023-04,0.9499299539889984
2023-04-14,Rolling MVPO,-0.00475002366008482,2023-04,0.9454177642321273
2023-04-21,Rolling MVPO,-0.005517655444725649,2023-04,0.9402012747577716
2023-04-28,Rolling MVPO,0.005501362113759373,2023-04,0.9453736624300323
2023-05-05,Rolling MVPO,-0.003935842014802204,2023-05,0.9416528210497527
2023-05-12,Rolling MVPO,-0.0041506771102706955,2023-05,0.9377443242395996
2023-05-19,Rolling MVPO,-0.009864685640270801,2023-05,0.9284937712700279
2023-05-26,Rolling MVPO,-0.004584666287462751,2023-05,0.924236937178767
2023-06-02,Rolling MVPO,0.005061324106756132,2023-06,0.9289147998692643
2023-06-09,Rolling MVPO,3.798902826844716e-05,2023-06,0.9289500884398555
2023-06-16,Rolling MVPO,0.003680383894200469,2023-06,0.9323689813838657
2023-06-23,Rolling MVPO,-0.0045540045417113515,2023-06,0.9281229688080928
2023-06-30,Rolling MVPO,0.0009700003085398967,2023-06,0.9290232483741997
2023-07-07,Rolling MVPO,-0.012571303227620678,2023-07,0.9173442154133785
2023-07-14,Rolling MVPO,0.016189102486425352,2023-07,0.9321951949320352
2023-07-21,Rolling MVPO,0.0027102621041637425,2023-07,0.934721688242543
2023-07-28,Rolling MVPO,-0.001672823389994649,2023-07,0.9331580639393156
2023-08-04,Rolling MVPO,-0.00878101265665319,2023-08,0.9249639911692065
2023-08-11,Rolling MVPO,-0.004065335387848407,2023-08,0.9212037023234209
2023-08-18,Rolling MVPO,-0.007038872315473916,2023-08,0.9147194670862244
2023-08-25,Rolling MVPO,0.004972603365565091,2023-08,0.9192680041868052
2023-09-01,Rolling MVPO,0.0047904193633928425,2023-09,0.9236716834342091
2023-09-08,Rolling MVPO,-0.003672946901231371,2023-09,0.9202790863867844
2023-09-15,Rolling MVPO,-0.0006221525704208049,2023-09,0.9197065323876844
2023-09-22,Rolling MVPO,-0.00557199894410104,2023-09,0.9145819285603375
2023-09-29,Rolling MVPO,-0.010893992172888655,2023-09,0.9046184801891357
2023-10-06,Rolling MVPO,-0.015069727849507131,2023-10,0.8909861258850507
2023-10-13,Rolling MVPO,0.011830845697345618,2023-10,0.9015272452588725
2023-10-20,Rolling MVPO,-0.011164471805058326,2023-10,0.891462169747688
2023-10-27,Rolling MVPO,0.006182034244629133,2023-10,0.8969732194088595
2023-11-03,Rolling MVPO,0.0170516957479728,2023-11,0.912268133840299
2023-11-10,Rolling MVPO,-0.0060062322147617885,2023-11,0.9067888395863268
2023-11-17,Rolling MVPO,0.01222652767591206,2023-11,0.9178757184297374
2023-11-24,Rolling MVPO,0.00104853362994549,2023-11,0.9188381419886213
2023-12-01,Rolling MVPO,0.015981727244071698,2023-12,0.9335227625553331
2023-12-08,Rolling MVPO,-0.004472285318133311,2023-12,0.9293477824102137
2023-12-15,Rolling MVPO,0.016119310804548377,2023-12,0.9443282281604016
2023-12-22,Rolling MVPO,0.0012070104989534113,2023-12,0.9454680422462494
2023-12-29,Rolling MVPO,0.0020655929618174224,2023-12,0.9474209943799365
2024-01-05,Rolling MVPO,-0.009121519892951608,2024-01,0.9387790749327
2024-01-12,Rolling MVPO,0.008988271641368816,2024-01,0.947217076269428
2024-01-19,Rolling MVPO,-0.009327444435590554,2024-01,0.9383819616220823
2024-01-26,Rolling MVPO,0.0037302344165411174,2024-01,0.9418823463111864
2024-02-02,Rolling MVPO,-0.0009591105895552857,2024-02,0.9409789769787241
2024-02-09,Rolling MVPO,-0.003425001924992929,2024-02,0.9377561221711941
2024-02-16,Rolling MVPO,-0.005949442542394632,2024-02,0.9321769960035577
2024-02-23,Rolling MVPO,0.002919945893749146,2024-02,0.9348989023952858
2024-03-01,Rolling MVPO,0.003260561699917488,2024-03,0.9379471979497308
2024-03-08,Rolling MVPO,0.008652305163909925,2024-03,0.9460626033340261
2024-03-15,Rolling MVPO,-0.007155810288472267,2024-03,0.9392927588235497
2024-03-22,Rolling MVPO,0.006683843670925105,2024-03,0.9455708447847583
2024-03-29,Rolling MVPO,0.003455782483543191,2024-03,0.9488385319471146
2024-04-05,Rolling MVPO,-0.005964263644082663,2024-04,0.9431794087869178
2024-04-12,Rolling MVPO,-0.00571377614847388,2024-04,0.9377902927772593
2024-04-19,Rolling MVPO,-0.004783618443570825,2024-04,0.9333042618365284
2024-04-26,Rolling MVPO,0.0015270990772010776,2024-04,0.9347295099135269
2024-05-03,Rolling MVPO,0.004237858531952318,2024-05,0.9386907613421814
2024-05-10,Rolling MVPO,0.0019523118964715714,2024-05,0.9405233784826577
2024-05-17,Rolling MVPO,0.007388653926122969,2024-05,0.947472580235694
2024-05-24,Rolling MVPO,-0.0046168154090173875,2024-05,0.9430982742276405
2024-05-31,Rolling MVPO,-0.0011872574203371498,2024-05,0.9419785738034566
2024-06-07,Rolling MVPO,-0.002926745420979222,2024-06,0.9392216423259168
2024-06-14,Rolling MVPO,0.010894586840699312,2024-06,0.9494540740709007
2024-06-21,Rolling MVPO,0.00030140091166628273,2024-06,0.9497402403944109
2024-06-28,Rolling MVPO,-0.004916497042859368,2024-06,0.9450708453110273
