bin_count,equal_weight_entropy,equal_weight_entropy_normalized,optimized_entropy,optimized_expected_return_ann,optimized_weight_entropy,w_SPY,w_EFA,w_EEM,w_AGG,w_LQD,w_HYG,w_GLD,w_VNQ,w_DBC
5,0.09408436310722557,0.05845790159431075,0.08141181923389569,0.08003051357686641,1.8607904333333087,0.099720851488,0.000141523869,0.095733494774,0.049678216647,0.086973403698,0.177613665065,0.26610542142,0.211216385962,0.012817037078
10,0.40680187401875567,0.1766718091142474,0.2522267879989245,0.08024452844684249,1.5391586448735879,0.30073761112,0.021634670506,0.011356193914,0.156245959316,0.392554861134,0.00327443231,0.044246706263,0.022798536548,0.04715102889
15,0.8272656831984592,0.3054838801960731,0.7860015226623853,0.08203032965013435,1.7934437038694577,0.279725455645,0.049046049217,0.061248886998,0.196084914597,0.114184888185,0.015650964017,0.24416799244,0.00404577346,0.035845075442
20,0.8529424225517062,0.2847191753687044,0.5934118299095467,0.08024452844684249,1.5391586448735879,0.30073761112,0.021634670506,0.011356193914,0.156245959316,0.392554861134,0.00327443231,0.044246706263,0.022798536548,0.04715102889
30,1.2065799534844488,0.3547515236809916,0.9941021400511765,0.08558409637189635,0.9694981595721813,0.348526207276,0.000374647969,0.004157655284,0.036739542824,0.576553758722,1.8847e-08,0.014539552205,5.2358298e-05,0.019056258574
50,1.6308392198468258,0.4168787396147587,1.3657663427494897,0.08558409637189635,0.9694981595721813,0.348526207276,0.000374647969,0.004157655284,0.036739542824,0.576553758722,1.8847e-08,0.014539552205,5.2358298e-05,0.019056258574
100,2.2853284888078194,0.4962527760127666,2.0048306589801244,0.08024452844684249,1.5391586448735879,0.30073761112,0.021634670506,0.011356193914,0.156245959316,0.392554861134,0.00327443231,0.044246706263,0.022798536548,0.04715102889
