selection,method,method_label,expected_return_in_sample_ann,ann_vol_in_sample,standard_entropy_in_sample,downside_entropy_in_sample,oos_total_return,oos_ann_return,oos_ann_vol,oos_sharpe_rf3,oos_max_drawdown,oos_var_5,oos_cvar_5,oos_skew,oos_kurtosis,weight_entropy,effective_n_entropy,herfindahl_hhi,effective_n_hhi,max_weight,top3_weight,n_positions_gt_1pct,w_SPY,w_EFA,w_EEM,w_AGG,w_LQD,w_HYG,w_GLD,w_VNQ,w_DBC
min_risk,mvpo,MVPO,0.03592354246177765,0.054903904322454615,0.16549369856518548,0.740631753912609,-0.07711795416425815,-0.026396636221341696,0.0621765930279354,-0.9070396667762607,-0.13485142346204126,-0.014671519928678586,-0.01671977481995341,0.23448313254875439,-0.19879661613912525,1.0702481399592791,2.9161030118898,0.43263580202199464,2.3114129605694567,0.6,0.9297238931992797,5,0.010237074996700159,3.4897757426877174e-19,0.0,0.6,0.0,0.2502065307989242,0.07951736240035562,5.824198545320569e-18,0.060039031804020045
target_return,mvpo,MVPO,0.07978204043404857,0.07552788626188255,0.5042782778545442,0.8194525572585527,0.06372270063279983,0.020805048352020794,0.0888652852862074,-0.10347068169944125,-0.1716929957099722,-0.017387832989624822,-0.02307877560017316,0.24291618128852507,0.06723143119203767,0.930635745194233,2.5361209919445833,0.4288075359322459,2.3320485677238794,0.5261873676247093,1.0,3,0.37777005315572343,1.496198998029996e-17,1.2333858503206681e-17,0.5261873676247093,3.230922474006803e-17,0.0,0.09604257921956727,2.6347806857292266e-17,0.0
high_return,mvpo,MVPO,0.12546021597228219,0.12499449504446797,0.9815558636109571,0.992060305040034,0.3375054676704834,0.10178922797007073,0.12862692117822694,0.5581197723810768,-0.18828221382606836,-0.02782835424141896,-0.03359026108036394,0.0741953428868734,0.04946030984189331,0.8023024559993555,2.2306710422192926,0.4914160101381287,2.0349357354452433,0.6,1.0,3,0.6,5.822433655585996e-19,0.0,6.938893903907228e-18,1.2425643786098842e-18,6.062279593672856e-19,0.3603371605993581,0.039662839400641955,8.583702114642856e-19
min_risk,repo,REPO,0.050323860151147315,0.062122562030313855,0.23779328139074238,0.7433756445212696,-0.09455627137195688,-0.03256791138632498,0.0761421562702003,-0.8217249740642312,-0.17750208709806592,-0.016123829110498658,-0.01990516357135959,0.26387068771780375,-0.18079906169125337,1.205352999250463,3.337937159439636,0.4095479626502575,2.4417164561845763,0.597115214111,0.905451063409,5,0.131669350763,0.007223554206,0.003607581038,0.597115214111,0.176666498535,0.06486773336,0.003845473985,0.012656920854,0.002347673149
target_return,repo,REPO,0.08024452844684249,0.0965958014677482,0.5934118299095467,0.8376098519686968,-0.004609382689005459,-0.0015388276722970717,0.09721927165540202,-0.32440921573747056,-0.1904977319816299,-0.019724395271589895,-0.02556814580725053,0.23902545212003162,-0.04684417405252095,1.5391586448735879,4.660667344569557,0.2742637373689842,3.646125476131164,0.392554861134,0.8495384315700001,8,0.30073761112,0.021634670506,0.011356193914,0.156245959316,0.392554861134,0.00327443231,0.044246706263,0.022798536548,0.04715102889
high_return,repo,REPO,0.12546021601597568,0.13327015309282977,1.012686521387333,1.0093013618423712,0.24733491584561795,0.07645123365682971,0.13472880133276013,0.3447758251934719,-0.20028572366200537,-0.028817855376725064,-0.03610663542146721,0.10645601335466061,0.08755936624110516,1.0456197416874213,2.8451612424095583,0.3981564683853998,2.511575421731035,0.53299233591,0.990456087606,3,0.53299233591,4.9582241e-05,0.000579243069,0.002258950059,0.004741857873,8.2287672e-05,0.297316885771,0.160146865925,0.001831991481
min_risk,downside_repo,Downside REPO,0.050323860151147315,0.062122562030313855,0.23779328139074238,0.7433756445212696,-0.09455627137195688,-0.03256791138632498,0.0761421562702003,-0.8217249740642312,-0.17750208709806592,-0.016123829110498658,-0.01990516357135959,0.26387068771780375,-0.18079906169125337,1.205352999250463,3.337937159439636,0.4095479626502575,2.4417164561845763,0.597115214111,0.905451063409,5,0.131669350763,0.007223554206,0.003607581038,0.597115214111,0.176666498535,0.06486773336,0.003845473985,0.012656920854,0.002347673149
target_return,downside_repo,Downside REPO,0.08024452844684249,0.0965958014677482,0.5934118299095467,0.8376098519686968,-0.004609382689005459,-0.0015388276722970717,0.09721927165540202,-0.32440921573747056,-0.1904977319816299,-0.019724395271589895,-0.02556814580725053,0.23902545212003162,-0.04684417405252095,1.5391586448735879,4.660667344569557,0.2742637373689842,3.646125476131164,0.392554861134,0.8495384315700001,8,0.30073761112,0.021634670506,0.011356193914,0.156245959316,0.392554861134,0.00327443231,0.044246706263,0.022798536548,0.04715102889
high_return,downside_repo,Downside REPO,0.12546021601597568,0.13327015309282977,1.012686521387333,1.0093013618423712,0.24733491584561795,0.07645123365682971,0.13472880133276013,0.3447758251934719,-0.20028572366200537,-0.028817855376725064,-0.03610663542146721,0.10645601335466061,0.08755936624110516,1.0456197416874213,2.8451612424095583,0.3981564683853998,2.511575421731035,0.53299233591,0.990456087606,3,0.53299233591,4.9582241e-05,0.000579243069,0.002258950059,0.004741857873,8.2287672e-05,0.297316885771,0.160146865925,0.001831991481
