rebalance_date,eval_month_end,PV_A,RV_A,RV_over_PV_A,abs_log_err_A,turnover_A,PV_B,RV_B,RV_over_PV_B,abs_log_err_B,turnover_B,PV_C,RV_C,RV_over_PV_C,abs_log_err_C,turnover_C,ret_month_A_gross,ret_month_B_gross,ret_month_C_gross,ret_month_A_net,ret_month_B_net,ret_month_C_net,ret_month_EW,ret_month_60_40,wA_SPY,wB_SPY,wC_SPY,wA_EFA,wB_EFA,wC_EFA,wA_EEM,wB_EEM,wC_EEM,wA_AGG,wB_AGG,wC_AGG,wA_LQD,wB_LQD,wC_LQD,wA_HYG,wB_HYG,wC_HYG,wA_GLD,wB_GLD,wC_GLD,wA_VNQ,wB_VNQ,wC_VNQ,wA_DBC,wB_DBC,wC_DBC
2014-08-29,2014-09-30,0.00019328179340053677,5.145011795301484e-05,0.2661922628501022,1.3235364386197013,0.014285266907655447,0.00011191489834055417,5.28509311481841e-05,0.47224214051787883,0.7502634153692278,0.013613502924207311,3.7961317476102256e-05,4.8630736764261606e-05,1.2810603002616032,0.24768809461045713,0.05200943643709842,-0.013601914517942792,-0.015450627568286857,-0.01563854509796314,-0.01360905715139662,-0.01545743431974896,-0.01566454981618169,-0.04086175090493638,-0.010581598364600708,0.10297264256081784,0.05652316141572057,0.013858625600774312,1.1857845839184465e-17,9.323409110075066e-18,8.963924687665644e-19,0.0,0.0,0.0,0.4921256494940602,0.4980798283255937,0.4786410141474801,0.26316293083917924,0.243543143945391,0.22701708243464078,0.1018229788401073,0.13534491927207767,0.221395385344316,0.012114728073285425,2.1328785920230814e-18,0.0,1.2870334761284072e-18,0.0,0.0,0.027801070192549966,0.06650894704121711,0.05908789247278868
2014-09-30,2014-10-31,0.00017173166484929373,0.00010476249863013684,0.6100360042632388,0.49423730017423273,0.03287104075026741,0.0001096503147725253,8.63460976064513e-05,0.7874678498240548,0.2389327347359851,0.006497581689696196,4.173563158574242e-05,9.077532200754694e-05,2.1750077465835522,0.777032226181915,0.027341333357411884,0.010354739376051247,0.008628010180739443,0.008537701019177169,0.010338303855676113,0.008624761389894594,0.008524030352498463,0.010831029683300963,0.01876939329449545,0.11088758955804921,0.060208844297945374,0.02245623025558347,6.114047595042825e-19,3.751521744688791e-18,7.462191520465425e-18,0.0,1.678391235491027e-18,0.0,0.5040744586332797,0.5007504330704556,0.48714938965913024,0.2335962291798365,0.23707569956663893,0.21717477322229284,0.10394652690202813,0.1353147819611335,0.21414961225616239,0.008810388982360803,0.0,0.010235353190952683,0.0,0.0,0.0,0.03868480674444567,0.06665024110382653,0.04883464141587843
2014-10-31,2014-11-28,0.00014213543331347616,5.92684725000534e-05,0.41698590645823175,0.8747028552167567,0.052110846779564526,0.00010569515148927464,7.56519770874547e-05,0.715756361777214,0.33441544677626106,0.021002465952297864,5.67201405859301e-05,9.450019065639533e-05,1.6660782163124062,0.5104724912094719,0.10301712785981328,0.0038877256326570464,-0.0008724007811177215,0.001972461931392999,0.0038616702092672643,-0.0008829020140938704,0.0019209533674630925,-0.005834387904349647,0.01913187299030028,0.1328374039957604,0.057772416537542615,0.025700844452440023,0.0,0.0,4.635389044620077e-18,0.0,0.0,0.0,0.502589758061306,0.5057319783012119,0.4769591711700791,0.18660250983785964,0.21850966137474392,0.2903164180325207,0.13410755924388149,0.14590800532097412,0.13539391411407073,0.005187796228662455,3.493138355954838e-17,0.036866222043681486,6.0037695301384816e-18,0.0,0.0,0.038674972632530065,0.07207793846552761,0.0347634301872079
2014-11-28,2014-12-31,0.0001362414768933119,0.00012002034709130693,0.8809383884269881,0.12676758917248918,0.043346207913298254,0.00010202880171325029,9.091556822003932e-05,0.8910774868801804,0.11532388909717942,0.020043900877310457,5.575308292660824e-05,8.759985264511184e-05,1.5712109186935146,0.4518466078642306,0.06558482875692377,-0.003783954040216475,-0.007222347212088032,-0.004162132592164358,-0.003805627144173124,-0.007232369162526687,-0.00419492500654282,-0.01698014442381013,-0.0005869309608845796,0.13790594898854563,0.06632761789579827,0.049934300947843104,3.560926510257079e-18,6.645138907332495e-19,0.0,1.7889335846010823e-18,0.0,0.0,0.4722138139745094,0.5091067575377259,0.4850221541234321,0.21181169802000324,0.2039180066067916,0.2570355976333333,0.14717603398225088,0.1540219256035147,0.16809384474438563,3.325790164099285e-17,0.0,0.004562213685945215,0.0,7.70455213122101e-18,7.153656460705596e-18,0.030892505034690834,0.06662569235616937,0.03535188886506078
2014-12-31,2015-01-30,0.00012887792003879442,4.236693039646342e-05,0.32873691927764087,1.1124974855513101,0.04657685657226151,9.90550087507258e-05,3.619181236309996e-05,0.3653708461545593,1.0068424243336291,0.01091314280677776,7.960937905523086e-05,5.1883758388525195e-05,0.6517292183943506,0.4281261125313584,0.09682491166191631,0.014980700574983574,0.013145375481897092,0.020193686031628744,0.014957412146697444,0.013139918910493703,0.020145273575797786,0.014648406051872787,-0.009599723410856797,0.12777178457036348,0.07547747103130098,0.06602876319344324,1.2563192673675783e-17,7.174676774431795e-18,4.190797146358419e-18,6.5363017910552196e-18,5.374670550151077e-18,0.0,0.4612245372528911,0.5108700472090011,0.4607684698685274,0.22170096282676885,0.20142112709564283,0.32104404008698223,0.18386362574774678,0.14828637315858673,0.11324581979101281,1.5753542269509105e-17,1.1672395254572529e-18,2.7582399564126654e-19,0.0,0.0,0.016722006962667194,0.005439089602229827,0.06394498150546846,0.02219090009736716
2015-01-30,2015-02-27,0.00012955013029808957,8.954104880399225e-05,0.6911691142105527,0.36937074679252674,0.03172255337195824,9.81949515201846e-05,9.090564364096884e-05,0.9257669791942674,0.07713271834200774,0.0036736242956770383,7.876706028495376e-05,0.00011076033113497914,1.4061757635016983,0.3408737951783387,0.02540932880584458,0.005777652770988517,0.0029586565821420052,-0.001430174418770247,0.005761791494302538,0.002956819769994167,-0.0014428790831731693,0.011985602113518956,0.02987910483636358,0.14720036458152422,0.07364813904741167,0.06067472486695178,0.0,0.0,5.577248736526538e-19,0.0,2.614486719298912e-18,0.0,0.43833551671471177,0.5113836862605309,0.4664260563666171,0.22110960824614162,0.20028049476674145,0.3087702239528244,0.17562144749459513,0.1475827131757004,0.12574987103511284,0.0,0.0,0.0,0.0,2.019290563897606e-18,0.008940532617471894,0.017733062963027332,0.06710496674961572,0.029438591161021953
2015-02-27,2015-03-31,0.00012930750108505239,0.00029688219839885826,2.2959394923546093,0.8311421246059703,0.01748080813545435,0.00010005064156863929,0.00028881175026759136,2.8866556549710216,1.0600986192237924,0.006988028498357663,8.564127583892827e-05,0.0002706790214537782,3.160614070753264,1.1507663349076747,0.07561229299782854,-0.0035372765953604057,-0.004336623631645664,-0.0015183170275961944,-0.003546016999428133,-0.004340117645894843,-0.0015561231740951085,-0.01243203877576271,-0.007845439754981087,0.14786500065189728,0.07445408141363036,0.07823585983713399,3.3949080525952358e-18,0.0,1.0089734044962568e-18,4.065758146820642e-18,0.0,1.4009627162565609e-19,0.4227195055289441,0.5116417837973919,0.4835070502903689,0.2296571450625223,0.19556265579157756,0.25570947059502747,0.17375665054490844,0.15350670177097825,0.16672003513900746,7.453889935837843e-19,0.0,0.0,0.0,2.044558863659569e-19,7.493140483084097e-18,0.02600169821172792,0.06483477722642184,0.015827584138462292
2015-03-31,2015-04-30,0.00012722161657751258,5.7267344463516825e-05,0.45013847492360254,0.7982000215020415,0.013694440654130315,0.00010589897219984393,5.9585898431071624e-05,0.5626673913192091,0.5750666046055841,0.007682036772321272,0.00010085275389867072,5.52985629920524e-05,0.548309895906385,0.600914648392153,0.034255788198237214,-0.001693616701606393,0.00039228075672737006,-0.00310394434631045,-0.0017004639219334581,0.00038843973834120943,-0.0031210722404095685,0.012014438717269815,0.004083478492193482,0.1381367355175554,0.07562348290134144,0.07912313485375533,1.5016200088924236e-17,0.0,3.8432006535198805e-18,0.0,2.1184914396289466e-18,0.0,0.43236227601495253,0.5105991008253039,0.48728751533720227,0.23124902172481343,0.19433350865186153,0.2257286274075593,0.17621644405073922,0.16001933705558846,0.1963080832737899,0.0,1.0360786242445169e-17,4.3940409029342554e-18,0.0,0.0,4.965551982266024e-18,0.022035522691939525,0.05942457056590461,0.011552639127693193
2015-04-30,2015-05-29,0.0001305478732860449,0.00019106770877117354,1.4635834652972322,0.38088785681653103,0.011652080993425441,0.00010565710052506709,0.0001820392337204733,1.7229247520121433,0.5440232839352039,0.004260974537835991,8.085330775103433e-05,0.00018185319805544934,2.2491745002618395,0.8105632601236608,0.02506839189253045,-0.0031813191093441606,-0.004691015939893739,-0.0032989068528945786,-0.0031871451498408734,-0.004693146427162657,-0.0033114410488408437,-0.007318157353241372,0.00593544060213147,0.13107054955141742,0.07934197703888296,0.07438515379298981,5.692061405548899e-19,0.0,6.033756481704753e-18,1.3867623412447407e-17,0.0,0.0,0.42910256632721655,0.5111415812255985,0.4889623110537018,0.22992283638526193,0.19293891925268444,0.20539821657579438,0.17799647866483592,0.15875721559926625,0.21509658498001946,2.2564957714854565e-18,0.0,9.37050711979261e-18,0.0,0.0,1.3870834527585336e-17,0.03190756907126821,0.05782030688356804,0.01615773359749454
2015-05-29,2015-06-30,0.0001196215861533498,0.00011118994730935029,0.929514069198259,0.07309333562722019,0.03601598447401701,0.00010883537933655855,0.00011515295845991241,1.058047108962772,0.05642485887467689,0.008520678193262535,8.784605113731674e-05,0.00012139817856890545,1.381942352526941,0.3234900113979968,0.04019547824349988,-0.014314544727577427,-0.012854681348920871,-0.014408660700490294,-0.014332552719814436,-0.012858941688017503,-0.014428758439612045,-0.019147312069766054,-0.016328289532144047,0.15008582548082983,0.07994906798434157,0.07652634614022459,1.0570971181733668e-18,9.08402304080222e-18,1.1084184639444231e-17,0.0,2.0930068321368004e-19,0.0,0.4144299595503278,0.5117889474519357,0.48618186881667036,0.20857945868813366,0.18479821305540453,0.167983180569326,0.1879911052829872,0.16602343662073288,0.25002832647490086,5.692061405548898e-19,0.0,9.342194381786146e-19,0.0,5.472502855558948e-18,8.86730254749394e-18,0.0389136509977215,0.057440334887585334,0.019280277998878294
