rebalance_date,L1_A_vs_B
2010-04-30,0.1857939754422262
2010-05-28,0.16693585729095836
2010-06-30,0.1661467261094192
2010-07-30,0.15930824162453439
2010-08-31,0.15968640757734096
2010-09-30,0.1487211775829752
2010-10-29,0.15465638354280026
2010-11-30,0.1561212166409544
2010-12-31,0.15134920499192378
2011-01-31,0.13371662513972313
2011-02-28,0.1299044497827328
2011-03-31,0.1322496749367486
2011-04-29,0.13622105854565625
2011-05-31,0.1347014842794727
2011-06-30,0.13394769897383182
2011-07-29,0.1424075301436673
2011-08-31,0.12509205670780899
2011-09-30,0.15544752752798835
2011-10-31,0.22998940649990468
2011-11-30,0.20067963346934742
2011-12-30,0.06550284758350486
2012-01-31,0.0599585783921993
2012-02-29,0.0782581950975765
2012-03-30,0.08189629696512586
2012-04-30,0.054972778187296185
2012-05-31,0.05347633894838118
2012-06-29,0.05139664338924632
2012-07-31,0.06190361950564638
2012-08-31,0.06789350597091455
2012-09-28,0.05021918729143347
2012-10-31,0.05180144199718742
2012-11-30,0.08773874081055763
2012-12-31,0.11479809598229669
2013-01-31,0.12474552395694684
2013-02-28,0.13135625912054907
2013-03-28,0.13415663964282534
2013-04-30,0.15837079328046055
2013-05-31,0.212969240400154
2013-06-28,0.17255559246487556
2013-07-31,0.16463212984486134
2013-08-30,0.15102048714050276
2013-09-30,0.1413806628472885
2013-10-31,0.1343196015559964
2013-11-29,0.11942745724831123
2013-12-31,0.1271242854359244
2014-01-31,0.12619403921328506
2014-02-28,0.1254224005839643
2014-03-31,0.1364741643905402
2014-04-30,0.15119196794667528
2014-05-30,0.16815750639424548
2014-06-30,0.18025226364224917
2014-07-31,0.17638902451372127
2014-08-29,0.156367992224342
2014-09-30,0.12562631961057738
2014-10-31,0.1605055673737605
2014-11-28,0.15894404501191794
2014-12-31,0.2163028037186972
2015-01-30,0.24484014666481496
2015-02-27,0.25551071456628355
2015-03-31,0.23125174536863313
2015-04-30,0.2159035054213634
2015-05-29,0.2317713435829435
2015-06-30,0.2387798544552633
2015-07-31,0.24595481797902458
2015-08-31,0.23527571184373747
2015-09-30,0.22893881462868662
2015-10-30,0.20115658102612388
2015-11-30,0.20858595098727192
2015-12-31,0.18104144404216874
2016-01-29,0.17552901479227495
2016-02-29,0.1865187130649062
2016-03-31,0.09022638851340922
2016-04-29,0.06891468142858947
2016-05-31,0.14377650715852902
2016-06-30,0.11724920410384296
2016-07-29,0.1037676066376367
2016-08-31,0.11842622021368909
2016-09-30,0.14270194114998344
2016-10-31,0.1517697213694078
2016-11-30,0.14736908419390884
2016-12-30,0.13541738767726288
2017-01-31,0.125239115970118
2017-02-28,0.1497943519541197
2017-03-31,0.14159230038576406
2017-04-28,0.1541853331119478
2017-05-31,0.15083164809474606
2017-06-30,0.15445583605589322
2017-07-31,0.12356681716215508
2017-08-31,0.144159424171082
2017-09-29,0.18514778915409574
2017-10-31,0.17835692861561592
2017-11-30,0.19316117031517038
2017-12-29,0.20731239309023614
2018-01-31,0.19490462776016246
2018-02-28,0.14757601178552462
2018-03-29,0.16923662851205956
2018-04-30,0.16529646809304605
2018-05-31,0.16443927549362264
2018-06-29,0.17424096333848296
2018-07-31,0.13463758650982824
2018-08-31,0.17971168895306305
2018-09-28,0.23194159835435807
2018-10-31,0.22513615192034897
2018-11-30,0.28348799631284954
2018-12-31,0.27786537153119506
2019-01-31,0.19296108453025765
2019-02-28,0.19997309281844095
2019-03-29,0.2481341801986173
2019-04-30,0.2763527064974769
2019-05-31,0.23896988406967068
2019-06-28,0.17261668517850684
2019-07-31,0.15020816824102817
