,Annual_Return,Annual_Volatility,Sharpe_0rf,Downside_Deviation_Ann,Max_Drawdown,Calmar
A_gross,0.032771960776315945,0.051266051042885376,0.6392526849571728,0.03790340273636326,-0.15347188034064807,0.21353723368460006
B_gross,0.030648900496301312,0.050107554372177746,0.6116622708954068,0.0368895522826723,-0.14132007976707062,0.21687576561531843
C_gross,0.02500075126762824,0.049746966829763845,0.5025583037691893,0.03708018071713678,-0.17789675578913455,0.14053517253154552
A_net,0.03264013136894528,0.05126152652894659,0.6367374048159472,0.03792873099808402,-0.1535915066925011,0.21251260614490014
B_net,0.030588900049978607,0.0501050427993833,0.6104954380032004,0.036890068751529635,-0.14135006276279538,0.21640528098888034
C_net,0.024735196222221978,0.049745489698369526,0.49723495280081054,0.037086485559435424,-0.17817074023522328,0.13882861007125108
EqualWeight,0.0565544458288334,0.09468801336800631,0.597271437188504,0.06730988207959485,-0.17751916209043817,0.31858220353711114
60_40_SPY_AGG,0.09002006613822156,0.09118344042939236,0.987241386312116,0.0626312004585396,-0.20172373942281951,0.44625420089767703
