case,optimization,expected_return,cvar,l2_to_benchmark,utility_floor,US Equities,Europe Equities,Emerging Market Equities,Japan Equities
"Case 1 - Stage 1 only (US 7.0%, Europe 6.9%)",Stage 1 (Mean-CVaR),0.07105000000000321,0.2142003025914645,0.27386127875256444,,0.5500000000000184,0.20000000000003862,0.2499999999999952,-7.060760435024435e-15
"Case 2 - Stage 1 only (US 6.9%, Europe 7.0%)",Stage 1 (Mean-CVaR),0.07105000000000282,0.2117427493991911,0.2738612787526085,,0.20000000000000082,0.5500000000000432,0.25000000000000233,-8.178099087751156e-15
"Case 3 - Stage 1 + Stage 2 (US 6.9%, Europe 7.0%)",Stage 1 + Stage 2 (Lexicographic),0.0706947496408466,0.20963139698702682,0.08411369672623385,0.0706947500000028,0.3852702042987199,0.3987258311937263,0.2160039656246421,-1.1122557278701622e-09
"Case 4 - Stage 1 + Stage 2 (US 7.0%, Europe 6.9%)",Stage 1 + Stage 2 (Lexicographic),0.07069474963755898,0.20972949595978765,0.08411369618138165,0.07069475000000319,0.398725831419423,0.38527020469289436,0.21600396501494556,-1.1223865635424213e-09
