case,optimization,expected_return,cvar,l2_to_benchmark,utility_floor,US Equities,Europe Equities,Emerging Market Equities,Japan Equities
"Case 1 - Stage 1 only (US 7.0%, Europe 6.9%)",Stage 1 (Mean only),0.07104999999855037,0.2142003025679171,0.2738612779901048,,0.549999999463202,0.20000000059204406,0.24999999991568617,2.9067620503935427e-11
"Case 2 - Stage 1 only (US 6.9%, Europe 7.0%)",Stage 1 (Mean only),0.07104999999855036,0.211742749383015,0.27386127799010473,,0.20000000059204404,0.5499999994632019,0.2499999999156861,2.906762018183395e-11
"Case 3 - Stage 1 + Stage 2 (US 6.9%, Europe 7.0%)","Stage 1 + Stage 2 (Lexicographic, no CVaR constraint)",0.07069474999855742,0.20963139854238283,0.08411375602782932,0.0706947499985576,0.38527016145321524,0.3987258065446951,0.2160040320020925,-5.259300912348429e-16
"Case 4 - Stage 1 + Stage 2 (US 7.0%, Europe 6.9%)","Stage 1 + Stage 2 (Lexicographic, no CVaR constraint)",0.07069474999855743,0.20972949769514299,0.08411375602783305,0.07069474999855761,0.3987258065446936,0.3852701614532125,0.2160040320020966,-5.259260702888826e-16
