architecture,architecture_label,mu_europe,status,stage1_status,stage2_status,solver,stage1_solver,stage2_solver,solve_time_seconds,stage1_solve_time_seconds,stage2_solve_time_seconds,turnover_constraint_applied,turnover_reference_available,n_scenarios,scenario_source,scenario_seed,portfolio_cvar_limit_mode,cvar_portfolio_benchmark_factor,requested_portfolio_cvar_limit,effective_portfolio_cvar_limit,benchmark_portfolio_cvar_demeaned,cvar_te_limit,expected_return,stage1_expected_return,stage2_expected_return,objective_loss_pct,stage2_bm_distance_objective,portfolio_cvar,portfolio_cvar_demeaned,portfolio_cvar_full,te_cvar,te_cvar_demeaned,te_cvar_full,bm_dist_l2,bm_dist_l1,max_weight,herfindahl,effective_n,turnover,error_message,w_US,w_Europe,w_EM,w_Japan,aw_US,aw_Europe,aw_EM,aw_Japan,stage1_w_US,stage1_w_Europe,stage1_w_EM,stage1_w_Japan,stage1_aw_US,stage1_aw_Europe,stage1_aw_EM,stage1_aw_Japan,adj_abs_change_US,adj_change_US,adj_abs_change_Europe,adj_change_Europe,adj_abs_change_EM,adj_change_EM,adj_abs_change_Japan,adj_change_Japan,adj_l1_change,adj_l2_change,adj_max_jump,instability_score,portfolio_risk_factor,te_cvar_limit,turnover_limit,is_feasible
A,Architecture A: Standard Optimization,0.0675,infeasible,,,CLARABEL,,,0.9480117,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
B,Architecture B: Stronger Single-Stage,0.0675,infeasible,,,CLARABEL,,,2.1397542,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,0.0675,infeasible,infeasible,not_run,CLARABEL,CLARABEL,,2.1397542,2.1397542,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
A,Architecture A: Standard Optimization,0.067,infeasible,,,CLARABEL,,,0.6910124,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
B,Architecture B: Stronger Single-Stage,0.067,infeasible,,,CLARABEL,,,2.061656,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,0.067,infeasible,infeasible,not_run,CLARABEL,CLARABEL,,2.061656,2.061656,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
A,Architecture A: Standard Optimization,0.0665,infeasible,,,CLARABEL,,,0.859926,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
B,Architecture B: Stronger Single-Stage,0.0665,infeasible,,,CLARABEL,,,2.1140601,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,0.0665,infeasible,infeasible,not_run,CLARABEL,CLARABEL,,2.1140601,2.1140601,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
A,Architecture A: Standard Optimization,0.066,infeasible,,,CLARABEL,,,0.6699262,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
B,Architecture B: Stronger Single-Stage,0.066,infeasible,,,CLARABEL,,,2.1517805,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,0.066,infeasible,infeasible,not_run,CLARABEL,CLARABEL,,2.1517805,2.1517805,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
A,Architecture A: Standard Optimization,0.0655,infeasible,,,CLARABEL,,,0.7998193,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
B,Architecture B: Stronger Single-Stage,0.0655,infeasible,,,CLARABEL,,,2.1486546,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,0.0655,infeasible,infeasible,not_run,CLARABEL,CLARABEL,,2.1486546,2.1486546,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
A,Architecture A: Standard Optimization,0.065,infeasible,,,CLARABEL,,,0.7766215,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
B,Architecture B: Stronger Single-Stage,0.065,infeasible,,,CLARABEL,,,2.1575841000000002,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,0.065,infeasible,infeasible,not_run,CLARABEL,CLARABEL,,2.1575841000000002,2.1575841000000002,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
A,Architecture A: Standard Optimization,0.0645,infeasible,,,CLARABEL,,,0.8197887,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
B,Architecture B: Stronger Single-Stage,0.0645,infeasible,,,CLARABEL,,,2.0802511,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,0.0645,infeasible,infeasible,not_run,CLARABEL,CLARABEL,,2.0802511,2.0802511,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
A,Architecture A: Standard Optimization,0.064,infeasible,,,CLARABEL,,,0.8532733,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
B,Architecture B: Stronger Single-Stage,0.064,infeasible,,,CLARABEL,,,2.1917074,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,0.064,infeasible,infeasible,not_run,CLARABEL,CLARABEL,,2.1917074,2.1917074,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
A,Architecture A: Standard Optimization,0.0635,infeasible,,,CLARABEL,,,0.7998601,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
B,Architecture B: Stronger Single-Stage,0.0635,infeasible,,,CLARABEL,,,2.1986318,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,0.0635,infeasible,infeasible,not_run,CLARABEL,CLARABEL,,2.1986318,2.1986318,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
A,Architecture A: Standard Optimization,0.063,infeasible,,,CLARABEL,,,0.9831519,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
B,Architecture B: Stronger Single-Stage,0.063,infeasible,,,CLARABEL,,,2.1079934,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,0.063,infeasible,infeasible,not_run,CLARABEL,CLARABEL,,2.1079934,2.1079934,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
A,Architecture A: Standard Optimization,0.0625,infeasible,,,CLARABEL,,,0.7403063,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
B,Architecture B: Stronger Single-Stage,0.0625,infeasible,,,CLARABEL,,,2.1174763,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,0.0625,infeasible,infeasible,not_run,CLARABEL,CLARABEL,,2.1174763,2.1174763,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
A,Architecture A: Standard Optimization,0.062,infeasible,,,CLARABEL,,,0.766003,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
B,Architecture B: Stronger Single-Stage,0.062,infeasible,,,CLARABEL,,,2.3235726,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,0.062,infeasible,infeasible,not_run,CLARABEL,CLARABEL,,2.3235726,2.3235726,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
A,Architecture A: Standard Optimization,0.0615,infeasible,,,CLARABEL,,,0.7304975,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
B,Architecture B: Stronger Single-Stage,0.0615,infeasible,,,CLARABEL,,,2.2405308,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,0.0615,infeasible,infeasible,not_run,CLARABEL,CLARABEL,,2.2405308,2.2405308,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
A,Architecture A: Standard Optimization,0.061,infeasible,,,CLARABEL,,,0.878822,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
B,Architecture B: Stronger Single-Stage,0.061,infeasible,,,CLARABEL,,,2.2791983,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,0.061,infeasible,infeasible,not_run,CLARABEL,CLARABEL,,2.2791983,2.2791983,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
A,Architecture A: Standard Optimization,0.0605,infeasible,,,CLARABEL,,,0.8504259,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
B,Architecture B: Stronger Single-Stage,0.0605,infeasible,,,CLARABEL,,,2.0785751,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,0.0605,infeasible,infeasible,not_run,CLARABEL,CLARABEL,,2.0785751,2.0785751,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
A,Architecture A: Standard Optimization,0.06,infeasible,,,CLARABEL,,,0.7133749,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
B,Architecture B: Stronger Single-Stage,0.06,infeasible,,,CLARABEL,,,2.0808443,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,0.06,infeasible,infeasible,not_run,CLARABEL,CLARABEL,,2.0808443,2.0808443,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
A,Architecture A: Standard Optimization,0.07,infeasible,,,CLARABEL,,,0.576562,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.3,False
B,Architecture B: Stronger Single-Stage,0.07,infeasible,,,CLARABEL,,,1.4111767,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.3,False
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,0.07,infeasible,infeasible,not_run,CLARABEL,CLARABEL,,1.4111767,1.4111767,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.3,False
A,Architecture A: Standard Optimization,0.0695,infeasible,,,CLARABEL,,,0.7239675,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.3,False
B,Architecture B: Stronger Single-Stage,0.0695,infeasible,,,CLARABEL,,,2.2360308,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.3,False
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,0.0695,infeasible,infeasible,not_run,CLARABEL,CLARABEL,,2.2360308,2.2360308,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.3,False
A,Architecture A: Standard Optimization,0.069,infeasible,,,CLARABEL,,,0.477829,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.3,False
B,Architecture B: Stronger Single-Stage,0.069,infeasible,,,CLARABEL,,,2.201764,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.3,False
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,0.069,infeasible,infeasible,not_run,CLARABEL,CLARABEL,,2.201764,2.201764,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.3,False
A,Architecture A: Standard Optimization,0.0685,infeasible,,,CLARABEL,,,0.7759449,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.3,False
B,Architecture B: Stronger Single-Stage,0.0685,infeasible,,,CLARABEL,,,1.9694744,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.3,False
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,0.0685,infeasible,infeasible,not_run,CLARABEL,CLARABEL,,1.9694744,1.9694744,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.3,False
