architecture,architecture_label,status,is_feasible,mu_europe,portfolio_risk_factor,te_cvar_limit,turnover_limit,expected_return,portfolio_cvar,te_cvar,bm_dist_l2,bm_dist_l1,turnover,herfindahl,effective_n,instability_score,max_adjacent_jump,objective_loss_pct,max_weight
B,Architecture B: Stronger Single-Stage,optimal,True,0.068,1.0,0.04,0.3,0.06928983750975996,0.2748026469241597,0.015467533722685427,0.07556772185714086,0.14073655559871168,0.14073655559871168,0.3120429758355885,3.204686781755624,0.09014532398939641,0.021383408455151687,,0.3727980751527803
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.068,1.0,0.04,0.3,0.06919938091642872,0.2747995213828299,8.34103388795165e-06,4.262198435612115e-05,7.259445284352184e-05,7.259445284352184e-05,0.3449833803516189,2.898690362940863,5.237885519642139e-07,1.2547742242463578e-07,0.0013054813892225746,0.39999337962008086
A,Architecture A: Standard Optimization,optimal,True,0.0675,1.0,0.04,0.3,0.06911623725960067,0.27480265148410693,0.017309658650395694,0.08837787437627581,0.1564304175592674,0.1564304175592674,0.309397373332589,3.232089494583532,0.0802619884497453,0.0191249782433906,,0.38407611577587514
B,Architecture B: Stronger Single-Stage,optimal,True,0.0675,1.0,0.04,0.3,0.06911623713997493,0.2748026508697865,0.017309633885942605,0.08837774060754988,0.15643019614027098,0.15643019614027098,0.3093974120900779,3.2320890897072543,0.08026152265250659,0.019124863287554084,,0.384076118169552
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.0675,1.0,0.04,0.3,0.06899932104873233,0.27479920013238474,9.196815582167993e-06,4.699499368277073e-05,8.004265678610706e-05,8.004265678610706e-05,0.344981675317865,2.8987046893972073,1.5545315243791288e-05,3.72410197122669e-06,0.001691586464781433,0.39999270037986995
A,Architecture A: Standard Optimization,optimal,True,0.067,1.0,0.04,0.3,0.06895167716785143,0.2748026472723595,0.01903817013164627,0.1013931727853086,0.1689158865028135,0.1689158865028135,0.30800313083839603,3.246720243648052,0.06634780165416015,0.015786926755017583,,0.39362030805911985
B,Architecture B: Stronger Single-Stage,optimal,True,0.067,1.0,0.04,0.3,0.06895167714470225,0.27480264715426084,0.019038165506155523,0.10139317651894368,0.1689158128912277,0.1689158128912277,0.3080031504723253,3.2467200366830404,0.0663484098134859,0.015787072900701193,,0.39362038269477323
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.067,1.0,0.04,0.3,0.06879939255260573,0.2747995470218593,8.272734769260372e-06,4.22729740561949e-05,7.200008227888771e-05,7.200008227888771e-05,0.3449835163425707,2.898689220290149,1.6785881394738122e-05,4.0212872535333455e-06,0.0022085698042839785,0.39999343364451273
A,Architecture A: Standard Optimization,optimal,True,0.0665,1.0,0.04,0.3,0.06879527029166409,0.2748026446955262,0.021329530589444888,0.12076967855134807,0.19942596651381522,0.19942596651381522,0.30817039016289177,3.244958087866336,0.0919747420001543,0.02163473194638038,,0.409026303989357
B,Architecture B: Stronger Single-Stage,optimal,True,0.0665,1.0,0.04,0.3,0.06879527128060849,0.2748026497648761,0.0213294556281201,0.12076930700123467,0.199425413747087,0.199425413747087,0.3081705428186249,3.2449564804399698,0.09197353481998176,0.021634417733154887,,0.4090264327636444
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.0665,1.0,0.04,0.3,0.06859948118861262,0.27479998574034015,7.104014131487189e-06,3.6300935616521874e-05,6.182845010378746e-05,6.182845010378746e-05,0.3449858447353013,2.8986696563369843,2.1229486705899713e-05,5.085816087636863e-06,0.0028459818291472947,0.39999436121737375
