architecture,architecture_label,status,is_feasible,mu_europe,portfolio_risk_factor,te_cvar_limit,turnover_limit,expected_return,portfolio_cvar,te_cvar,bm_dist_l2,bm_dist_l1,turnover,herfindahl,effective_n,instability_score,max_adjacent_jump,objective_loss_pct,max_weight
B,Architecture B: Stronger Single-Stage,optimal,True,0.064,1.0,0.04,0.4,0.06814450707883297,0.27480265045332236,0.033229947960929894,0.20896472904189295,0.36179304036128546,0.36179304036128546,0.3156729442799744,3.1678356289954555,0.07591145577991498,0.01808106600072326,,0.4580154414877908
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.064,1.0,0.04,0.4,0.06780378454324153,0.2748026521635725,0.007717293393566868,0.04349461988171048,0.07120255725687416,0.07120255725687416,0.32942671552186525,3.0355765118073017,0.06265611345269828,0.014976322612871795,0.005000000002895068,0.40402521471662195
A,Architecture A: Standard Optimization,optimal,True,0.0635,1.0,0.04,0.4,0.0680387050109286,0.274802639441714,0.03632940186448045,0.22736893473864694,0.3936399996835539,0.3936399996835539,0.3153685813670803,3.1708929141423496,0.06660167798963731,0.015923106840920742,,0.4605985430478184
B,Architecture B: Stronger Single-Stage,optimal,True,0.0635,1.0,0.04,0.4,0.06803870674994811,0.2748026481499772,0.03632761162818697,0.22735791980709388,0.3936209138607012,0.3936209138607012,0.3153681358185799,3.170897393943643,0.06656343645647585,0.015913936749707952,,0.46059613751319184
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.0635,1.0,0.04,0.4,0.06769851321469722,0.27480265091104794,0.010559568443139145,0.0610254317090742,0.10175582883977685,0.10175582883977685,0.32503233109432283,3.076617014169599,0.06363867384847977,0.015276635791451443,0.005000000022063136,0.40838729636418775
A,Architecture A: Standard Optimization,optimal,True,0.063,1.0,0.04,0.4,0.06793855458267954,0.27480264606703786,0.03681736720145455,0.230996127054133,0.39999999500749317,0.39999999500749317,0.31626608381109717,3.1618945286504094,0.014173255562993443,0.0031799976619698578,,0.46276604676839156
B,Architecture B: Stronger Single-Stage,optimal,True,0.063,1.0,0.04,0.4,0.06793855487680225,0.2748026477051759,0.03681735391014861,0.2309960151357834,0.39999979776094696,0.39999979776094696,0.3162660470149302,3.161894896522965,0.014207202065495014,0.0031894419501229676,,0.4627659573530728
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.063,1.0,0.04,0.4,0.06759886210102455,0.2748026513067936,0.013332136161564182,0.07842621471228459,0.13223752628905108,0.13223752628905108,0.3213563261218603,3.1118105315306406,0.06338801268439151,0.015240848724637157,0.0050000000205140845,0.4131103038311334
A,Architecture A: Standard Optimization,optimal,True,0.0625,1.0,0.04,0.4,0.06783855544243388,0.27480265026612494,0.03681736869304015,0.2309961303142265,0.3999999993766511,0.3999999993766511,0.31626608741913986,3.161894492578725,2.1768037261709775e-07,5.088218524296195e-08,,0.46276603741792316
B,Architecture B: Stronger Single-Stage,optimal,True,0.0625,1.0,0.04,0.4,0.06783855580495494,0.2748026520393631,0.03681736860422048,0.23099613043882533,0.3999999993877313,0.3999999993877313,0.31626609258817523,3.161894440900898,4.485977468149175e-07,1.0081339146816859e-07,,0.4627660401265112
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.0625,1.0,0.04,0.4,0.06749936302587917,0.27480265244980345,0.01585659738270616,0.09399194173643648,0.15926229488546062,0.15926229488546062,0.3182527579192944,3.142156588171938,0.05621760776192987,0.013512384298204727,0.005000000000751835,0.41671656309240634
A,Architecture A: Standard Optimization,optimal,True,0.062,1.0,0.04,0.4,0.06773855581454018,0.2748026520842323,0.0368173691215209,0.230996130913616,0.39999999991733165,0.39999999991733165,0.31626608955501406,3.161894471225159,9.068033757590481e-08,2.1016839074627924e-08,,0.46276603433911156
B,Architecture B: Stronger Single-Stage,optimal,True,0.062,1.0,0.04,0.4,0.06773855579290858,0.27480265198591947,0.036817365665605485,0.23099612955106572,0.3999999996721392,0.3999999996721392,0.31626611252264636,3.1618942416045113,1.5993845122230743e-07,3.7369329630720927e-08,,0.4627660774958408
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.062,1.0,0.04,0.4,0.06739986301366506,0.27480265232931095,0.017980957580535695,0.10760775535732629,0.1832474926893845,0.1832474926893845,0.3162993369353975,3.1615621129305267,0.0498293934717372,0.01199259890196197,0.005000000004118417,0.4208077054233832
A,Architecture A: Standard Optimization,optimal,True,0.0615,1.0,0.04,0.4,0.06763855576018067,0.2748026518171586,0.0368173698152561,0.23099613113168968,0.39999999990924673,0.39999999990924673,0.31626608416882235,3.1618945250740245,3.801111161994716e-08,8.992942612806587e-09,,0.46276602534616895
B,Architecture B: Stronger Single-Stage,optimal,True,0.0615,1.0,0.04,0.4,0.06763855555999251,0.27480265084873096,0.036817370193511355,0.23099612981695156,0.399999997398759,0.399999997398759,0.3162660774521577,3.161894592224398,2.5773595799948906e-07,6.10668783318502e-08,,0.4627660164289625
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.0615,1.0,0.04,0.4,0.06730036278205954,0.2748026524117272,0.01966446232303797,0.1194355512874289,0.20456326618412457,0.20456326618412457,0.31574138127558193,3.1671490001090197,0.0445083281204906,0.010657886747369893,0.005000000001966431,0.42622134464929834
A,Architecture A: Standard Optimization,optimal,True,0.061,1.0,0.04,0.4,0.06753855557635222,0.27480265091894374,0.036817369826439975,0.230996130984226,0.3999999997706058,0.3999999997706058,0.31626608169093473,3.161894549846897,4.105718927143829e-08,9.421788932373332e-09,,0.462766024226045
B,Architecture B: Stronger Single-Stage,optimal,True,0.061,1.0,0.04,0.4,0.06753855471783658,0.2748026467371757,0.036817367175409114,0.2309961285520897,0.3999999976723595,0.3999999976723595,0.3162660874799456,3.161894491970815,2.88038703253106e-07,6.809979569144531e-08,,0.46276605118305686
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.061,1.0,0.04,0.4,0.06720086194383329,0.27480265227693756,0.021313541480503226,0.1296883025826097,0.22240140712740006,0.22240140712740006,0.3144337755922165,3.1803199198831678,0.03707570534195891,0.008919070471637758,0.005000000006131456,0.4286810011052605
A,Architecture A: Standard Optimization,optimal,True,0.0605,1.0,0.04,0.4,0.06743855577759923,0.27480265190251174,0.03681736976899494,0.2309961311433771,0.3999999999474999,0.3999999999474999,0.31626608472645557,3.1618945194990435,4.528985596016041e-08,1.0458360774623365e-08,,0.4627660260551343
B,Architecture B: Stronger Single-Stage,optimal,True,0.0605,1.0,0.04,0.4,0.06743855544022376,0.27480265025590284,0.03681737074907588,0.2309961309222508,0.399999999160979,0.399999999160979,0.3162660733382216,3.161894633353793,2.8058123507415786e-07,6.633445134851534e-08,,0.462766011207913
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.0605,1.0,0.04,0.4,0.06710136266209887,0.2748026520167149,0.02260457166572996,0.13859932656867135,0.23828481826082618,0.23828481826082618,0.3142571659327319,3.182107230655973,0.033135767127320484,0.007941705566712975,0.00500000001369788,0.43251021795558253
A,Architecture A: Standard Optimization,optimal,True,0.06,1.0,0.04,0.4,0.06733855580406481,0.2748026520329472,0.03681736914640076,0.23099613094498692,0.3999999999667875,0.3999999999667875,0.31626608928760014,3.1618944738986503,3.379668792554962e-08,7.989601147340153e-09,,0.46276603404473543
B,Architecture B: Stronger Single-Stage,optimal,True,0.06,1.0,0.04,0.4,0.06733855575842233,0.2748026518132243,0.036817367392870365,0.23099613029845428,0.3999999999511131,0.3999999999511131,0.3162661005767323,3.16189436103469,1.8919020574848163e-07,4.472619552498003e-08,,0.4627660559341085
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.06,1.0,0.04,0.4,0.06700186297894671,0.27480265214406857,0.023632410545360742,0.14640115104326018,0.25233889614423016,0.25233889614423016,0.3148606206171828,3.176008476511995,0.029745939952092727,0.00702703894170198,0.005000000010150363,0.43712515463236196
A,Architecture A: Standard Optimization,optimal,True,0.07,1.0,0.05,0.2,0.07008482838909458,0.2748026497768898,0.013550759993412915,0.08256976215975305,0.13812571687798247,0.13812571687798247,0.32985763250974387,3.0316109176902564,,,,0.4275930093402293
B,Architecture B: Stronger Single-Stage,optimal,True,0.07,1.0,0.05,0.2,0.07008482886764784,0.2748026522176992,0.013550759071223155,0.08256974458066413,0.13812567258115716,0.13812567258115716,0.3298576465180879,3.0316107889442683,,,,0.4275930092387494
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.07,1.0,0.05,0.2,0.06999961542243863,0.27480074815953126,5.072989974636399e-06,2.5922533709427784e-05,4.4151657388170895e-05,4.4151657388170895e-05,0.34498989160498783,2.8986356537802456,,,0.001215861500784132,0.39999597352409894
A,Architecture A: Standard Optimization,optimal,True,0.0695,1.0,0.05,0.2,0.06987371416230845,0.27480264791447023,0.012415845941145597,0.07070095895671492,0.11648668922172484,0.11648668922172484,0.32694390017110414,3.0586287111539807,0.05500461621225698,0.01274260846347508,,0.41485040087675423
B,Architecture B: Stronger Single-Stage,optimal,True,0.0695,1.0,0.05,0.2,0.06987371415044488,0.27480264785373526,0.012415846999463777,0.07070098317086367,0.11648674183219415,0.11648674183219415,0.32694391231811193,3.058628597516181,0.05500442627580189,0.01274256636272686,,0.4148504428760225
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.0695,1.0,0.05,0.2,0.06979954670775236,0.27480039609035817,6.010876694232779e-06,3.071506178224704e-05,5.231437868754435e-05,5.231437868754435e-05,0.3449880228967869,2.898651354917266,1.703661002220543e-05,4.081360649707544e-06,0.0010614498398186165,0.3999952290966886
A,Architecture A: Standard Optimization,optimal,True,0.069,1.0,0.05,0.2,0.06966995113761998,0.2748026341034834,0.012611557211528507,0.0663627024255836,0.10305604916926538,0.10305604916926538,0.32280975057998124,3.0977998595251046,0.05429560780756159,0.01298139292657019,,0.40186900795018404
B,Architecture B: Stronger Single-Stage,optimal,True,0.069,1.0,0.05,0.2,0.0696699545868658,0.2748026518513127,0.012611504436115337,0.06636236378296276,0.10305542804966283,0.10305542804966283,0.3228099451696776,3.0977979921726795,0.054295621266618445,0.012981373790639295,,0.4018690690853832
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.069,1.0,0.05,0.2,0.06959971916175156,0.2748012471345127,3.7437542497532757e-06,1.9130255972750776e-05,3.258295125270483e-05,3.258295125270483e-05,0.34499254009078906,2.8986134011385802,4.118194696175261e-05,9.865713717367719e-06,0.0010081164187736977,0.3999970285364398
