asset,sample_start,sample_end,n_weekly_obs,weekly_mean,weekly_vol,annualized_mean_approx,annualized_vol
SPY,2015-01-02,2025-12-26,574,0.0026711124289154576,0.02328607085746289,0.1388978463036038,0.1679182449613403
EFA,2015-01-02,2025-12-26,574,0.00140503898078535,0.023538796621280698,0.0730620270008382,0.16974067636149212
EEM,2015-01-02,2025-12-26,574,0.0013005035595113478,0.026489242782421034,0.06762618509459009,0.19101664620046685
AGG,2015-01-02,2025-12-26,574,0.00011816543019115343,0.0069973199030054995,0.006144602369939979,0.05045839140222207
GLD,2015-01-02,2025-12-26,574,0.002447770283115085,0.02001887638572964,0.12728405472198442,0.14435817057184688
