scenario,horizon_weeks,asset,prior_vol,posterior_vol,change
single_short_view,4,SPY,0.04657214171492579,0.030445786372428164,-0.016126355342497626
single_short_view,4,EFA,0.047077593242561395,0.03685794668362025,-0.010219646558941142
single_short_view,4,EEM,0.052978485564842075,0.0447331561558688,-0.008245329408973275
single_short_view,4,AGG,0.013994639806010997,0.013965211707554466,-2.942809845653087e-05
single_short_view,4,GLD,0.04003775277145928,0.04003567679141475,-2.075980044528858e-06
single_short_view,12,SPY,0.0806653156675494,0.07255945614229613,-0.008105859525253278
single_short_view,12,EFA,0.08154078339417759,0.07609932854340253,-0.00544145485077506
single_short_view,12,EEM,0.09176142870636082,0.08726107451294479,-0.004500354193416031
single_short_view,12,AGG,0.024239427177636906,0.024222448774572553,-1.6978403064353553e-05
single_short_view,12,GLD,0.0693474220210491,0.06934622347412739,-1.1985469217101752e-06
single_long_view,4,SPY,0.04657214171492579,0.04650086911964264,-7.127259528314639e-05
single_long_view,4,EFA,0.047077593242561395,0.04688761361646163,-0.00018997962609976216
single_long_view,4,EEM,0.052978485564842075,0.05268021052834092,-0.0002982750365011569
single_long_view,4,AGG,0.013994639806010997,0.013800986705389302,-0.00019365310062169523
single_long_view,4,GLD,0.04003775277145928,0.03601995732827781,-0.004017795443181468
single_long_view,12,SPY,0.0806653156675494,0.0802944030206865,-0.0003709126468629115
single_long_view,12,EFA,0.08154078339417759,0.08054958772549373,-0.0009911956686838586
single_long_view,12,EEM,0.09176142870636082,0.09020266977937964,-0.0015587589269811797
single_long_view,12,AGG,0.024239427177636906,0.023218644374318354,-0.001020782803318552
single_long_view,12,GLD,0.0693474220210491,0.045374068050458266,-0.023973353970590833
mixed_horizon_views,4,SPY,0.04657214171492579,0.030349544071596225,-0.016222597643329565
mixed_horizon_views,4,EFA,0.047077593242561395,0.0366297671764409,-0.010447826066120498
mixed_horizon_views,4,EEM,0.052978485564842075,0.04439527364850383,-0.008583211916338242
mixed_horizon_views,4,AGG,0.013994639806010997,0.013770460848533195,-0.00022417895747780213
mixed_horizon_views,4,GLD,0.04003775277145928,0.036018445682223205,-0.004019307089236077
mixed_horizon_views,12,SPY,0.0806653156675494,0.07216348395661838,-0.008501831710931024
mixed_horizon_views,12,EFA,0.08154078339417759,0.07505814800273126,-0.00648263539144632
mixed_horizon_views,12,EEM,0.09176142870636082,0.08564511848288896,-0.006116310223471866
mixed_horizon_views,12,AGG,0.024239427177636906,0.02319968803686405,-0.0010397391407728565
mixed_horizon_views,12,GLD,0.0693474220210491,0.04537373231773651,-0.023973689703312588
conflicting_horizon_views,4,SPY,0.04657214171492579,0.024819291798110703,-0.021752849916815087
conflicting_horizon_views,4,EFA,0.047077593242561395,0.03381942740817694,-0.013258165834384453
conflicting_horizon_views,4,EEM,0.052978485564842075,0.04241875825741548,-0.010559727307426596
conflicting_horizon_views,4,AGG,0.013994639806010997,0.013957834450718581,-3.6805355292416145e-05
conflicting_horizon_views,4,GLD,0.04003775277145928,0.040035157037355405,-2.5957341038759796e-06
conflicting_horizon_views,12,SPY,0.0806653156675494,0.04140180820258498,-0.039263507464964424
conflicting_horizon_views,12,EFA,0.08154078339417759,0.057782318360567776,-0.02375846503360981
conflicting_horizon_views,12,EEM,0.09176142870636082,0.07287803112221046,-0.018883397584150363
conflicting_horizon_views,12,AGG,0.024239427177636906,0.024173844011119047,-6.558316651785953e-05
conflicting_horizon_views,12,GLD,0.0693474220210491,0.0693427968742725,-4.625146776598976e-06
