portfolio,annual_return,annual_vol,sharpe,max_drawdown,hit_rate,obs_months,avg_names,vs_raw_annual_excess
raw,0.08033417301491674,0.17307900806526566,0.46414740824389206,-0.6482549668611286,0.6245059288537549,253,3.0,0.0
enhanced,0.09054891162045697,0.15665574940999613,0.5780120548494794,-0.5190168414582457,0.6284584980237155,253,3.0,0.01021473860554023
benchmark,0.10242446369613778,0.14685909947759074,0.6974335540697412,-0.5028342567092194,0.6521739130434783,253,11.0,
