date,strategy_return,benchmark_return,excess_return,n_selected,n_available,selection_mode,strategy_equity,benchmark_equity,excess_equity
2008-12-31,-0.11061346035118974,-0.11061346035118974,0.0,21,21,high_only,0.8893865396488103,0.8893865396488103,1.0
2009-01-31,-0.08904909067182556,-0.08904909067182556,0.0,21,21,high_only,0.8101874770373223,0.8101874770373223,1.0
2009-02-28,0.11659305688704431,0.11659305688704431,0.0,22,22,high_only,0.9046497116367057,0.9046497116367057,1.0
2009-03-31,0.14349010318362787,0.14349010318362787,0.0,22,22,high_only,1.0344579921044956,1.0344579921044956,1.0
2009-04-30,0.1435731372170712,0.1435731372170712,0.0,22,22,high_only,1.1829783713502104,1.1829783713502104,1.0
2009-05-31,-0.021020329598141322,-0.014967964529856185,-0.006052365068285137,15,22,high_only,1.1581117760769566,1.1652715930482536,0.9938556667698665
2009-06-30,0.10895834403282932,0.1089740464266276,-1.570239379827809e-05,9,22,high_only,1.2842977174032204,1.2922559537287241,0.9938415943818709
2009-07-31,0.03686625618398138,0.03331676889519855,0.003549487288782828,7,22,high_only,1.3316449660695102,1.3353097466925483,0.9972554827581275
2009-08-31,0.08353310381108536,0.06464369763670828,0.01888940617437708,6,22,high_only,1.442881403259704,1.4216291062090909,1.0149492557220388
2009-09-30,-0.04172069089951064,-0.027892896326698623,-0.013827794572812014,2,22,high_only,1.3826833942296535,1.3819757529345835,1.0005120504419613
2009-10-31,0.0617025518842181,0.051935788347689325,0.009766763536528777,3,22,high_only,1.4679984881015553,1.4537497531406327,1.0098013670716985
2009-11-30,0.07851112121934589,0.007962843070289856,0.07054827814905604,1,22,high_only,1.5832526953507131,1.465325734288364,1.0804783252643961
2009-12-31,-0.053848642269213855,-0.06077903944468741,0.006930397175473557,3,22,high_only,1.497996687337004,1.376264643684736,1.0884510433446501
2010-01-31,0.01700728472405899,0.010915100567510116,0.006092184156548875,2,22,high_only,1.5234735435142417,1.3912867106780635,1.0950104905205018
2010-02-28,0.06505522082714428,0.07364848360812214,-0.008593262780977856,3,22,high_only,1.6225834513118726,1.493752867183635,1.086246250607129
2010-03-31,-0.009116732209412115,-0.015123821646455123,0.006007089437043008,2,22,high_only,1.6077907924988386,1.4711616152364688,1.0928716300420933
2010-04-30,-0.1441023432158457,-0.10680904393971691,-0.03729329927612879,3,22,high_only,1.3761043718988943,1.314028249632252,1.047241086547428
2010-05-31,-0.035945229087678776,-0.01602316360902225,-0.019922065478656527,4,22,high_only,1.3266399850024324,1.2929733600015172,1.0260381428128384
2010-06-30,0.11481412707156892,0.11717500358664092,-0.002360876515071997,7,22,high_only,1.4789569968187262,1.4444775180971263,1.0238698617940563
2010-07-31,-0.0466766104176482,-0.038578715215899444,-0.008097895201748757,2,22,high_only,1.4099242972537636,1.3887514312906881,1.015245972379231
2010-08-31,0.09816134395750324,0.11527088251126459,-0.01710953855376135,3,22,high_only,1.5483243611505313,1.5488340343643474,0.9996709310342439
2010-09-30,0.03473943961623149,0.0383296775597199,-0.0035902379434884085,2,22,high_only,1.6021122818010605,1.6082003434950531,0.996214363640315
2010-10-31,-0.08498634158793206,-0.04384980690286924,-0.041136534685062814,2,22,high_only,1.4659546201576943,1.5376810689716671,0.9533541445873817
2010-11-30,0.08240642089031192,0.08845995878462769,-0.006053537894315772,2,22,high_only,1.5867586935925067,1.6737042729568032,0.9480520060986063
2010-12-31,0.13962960977736394,0.012503481130019135,0.1271261286473448,1,22,high_only,1.8083171907896682,1.694631402750951,1.0670858499695965
2011-01-31,0.014617017604383609,0.01752365993920637,-0.0029066423348227607,1,22,high_only,1.8347493950017504,1.724327547175059,1.064037629049999
2011-02-28,0.04362493339358231,0.014606771991336602,0.02901816140224571,1,22,high_only,1.9147902151526173,1.7495144064950257,1.0944695328280862
2011-03-31,0.05169762799755274,0.05169762799755274,0.0,22,22,fallback_all,2.013780327388931,1.8399601514583648,1.0944695328280862
2011-04-30,-0.028540618666617803,-0.028540618666617803,0.0,22,22,fallback_all,1.9563057909865869,1.7874465504138193,1.094469532828086
2011-05-31,-0.009897827173820817,-0.015956315388225752,0.0060584882144049355,1,22,high_only,1.9369426143682569,1.7589254895158202,1.1012078828316028
2011-06-30,-0.01174786096326368,-0.03127395504837009,0.019526094085106412,5,22,high_only,1.9141876818408383,1.7039169328232702,1.1234043426454858
2011-07-31,-0.06736473147368711,-0.0826556079600619,0.015290876486374783,5,22,high_only,1.7852389426633906,1.563078642827319,1.1421299567078884
2011-08-31,-0.13851522046740664,-0.14254891905835285,0.004033698590946211,10,22,high_only,1.5379561769333712,1.3402634718890873,1.1475028673023806
2011-09-30,0.1299019242418845,0.12576873688652335,0.00413318735536114,13,22,high_only,1.737739643716708,1.508826715843724,1.1517158501166767
2011-10-31,-0.026213213478717957,-0.027581613374176875,0.0013683998954589181,12,23,high_only,1.6921879034655307,1.4672108407186935,1.1533365597521317
2011-11-30,-0.02183464132020252,-0.023113106429858536,0.0012784651096560164,10,23,high_only,1.6552395875469754,1.43329904040212,1.1548459469299504
2011-12-31,0.07226658168141478,0.07363171241888136,-0.00136513073746658,13,23,high_only,1.77485809440275,1.5388353031552675,1.1533775516870035
2012-01-31,0.054385246711767476,0.04969998014377423,0.004685266567993243,10,23,high_only,1.871384189745221,1.6153153871666233,1.1585255762515583
2012-02-29,-0.0087179840255681,-0.00841866399798998,-0.0002993200275781191,7,24,high_only,1.8550694922733215,1.6017165896712844,1.1581758622191907
2012-03-31,-0.023058226492886483,-0.02345544442899189,0.0003972179361054068,8,24,high_only,1.8122948797604395,1.5641476152112552,1.1586469602587153
2012-04-30,-0.10591659280676634,-0.1113509337406584,0.005434340933892057,8,24,high_only,1.6203427809350655,1.389978317749258,1.1657324148471815
2012-05-31,0.0733870488514828,0.07032918098783013,0.003057867863652669,17,24,high_only,1.7392549557556944,1.487734354427405,1.1690628441695787
2012-06-30,0.0010573946833610792,0.005088150641118926,-0.004030755957757847,10,24,high_only,1.7410940346989197,1.4953041709366994,1.1643744921865968
2012-07-31,0.036177200100073935,0.028125003847415314,0.00805219625265862,9,24,high_only,1.8040819419852676,1.53735960649735,1.1734937839921562
2012-08-31,0.04104807202526217,0.035174012148359225,0.005874059876902947,6,24,high_only,1.8781360274793537,1.5914347119726846,1.1801527347303393
2012-09-30,0.019655483243937327,0.012333380095339436,0.007322103148597891,6,24,high_only,1.9150516986973092,1.6110624811723606,1.188688657998998
2012-10-31,0.026375242834211506,0.018346313297787728,0.008028929536423778,7,24,high_only,1.96556165229052,1.6406195381942599,1.198060614622392
2012-11-30,0.05219757666856863,0.05401557484659247,-0.0018179981780238469,7,24,high_only,2.068159207332753,1.729238545654374,1.1959941631708917
2012-12-31,0.03090033480606298,0.024617694084143753,0.006282640721919225,5,24,high_only,2.132066019271577,1.7718084111698031,1.2033276317183303
2013-01-31,0.010853244652570315,-0.020772958509957463,0.031626203162527775,4,24,high_only,2.1552058533941625,1.7350027085569792,1.2421916362232488
2013-02-28,0.005538312377564469,0.00013055616419800167,0.005407756213366467,4,24,high_only,2.1671420566482147,1.7352292238554816,1.2489082288696545
2013-03-31,0.03182050205904355,0.03231984994328199,-0.0004993478842384436,4,24,high_only,2.236101604924029,1.7913115719876884,1.2483041140870819
2013-04-30,-0.028094978184087627,-0.027143678676489938,-0.0009512995075976888,2,24,high_only,2.1732783791162853,1.7426887862681766,1.2470834702334779
2013-05-31,-0.03744129024181323,-0.04803317882958,0.010591888587766767,6,25,high_only,2.091908032547535,1.6589819041530536,1.260958921438929
2013-06-30,0.036188924421510005,0.038179586548133804,-0.001990662126623799,7,25,high_only,2.1676119342341478,1.7223211473444529,1.258541090072698
2013-07-31,-0.0010333889145840252,-0.01979228309873543,0.018758894184151404,6,26,high_only,2.1653719480901903,1.6882324796092727,1.2826266371746073
2013-08-31,0.053092960133975194,0.06680667210504039,-0.013713711971065197,7,26,high_only,2.280337954605371,1.8010176733116088,1.2661385773146887
2013-09-30,0.04786595821108484,0.04126392696566534,0.0066020312454194985,5,26,high_only,2.389488515847662,1.8753347350470115,1.274166404104791
2013-10-31,-0.030369757632994515,-0.0023871978815517623,-0.027982559751442752,4,26,high_only,2.3169203287545446,1.870857939940307,1.2384266487002589
2013-11-30,0.014546241100720586,0.009447955824921216,0.0050982852757993705,4,26,high_only,2.3506228104677693,1.888533723111566,1.2446814063742855
2013-12-31,-0.05163491565819386,-0.05616044889890189,0.004525533240708035,6,26,high_only,2.2292485999050395,1.7824728214609058,1.2506494197639202
2014-01-31,0.03738362964096757,0.049417459315208294,-0.012033829674240722,10,26,high_only,2.312586003941535,1.8705580995959148,1.236308032581885
2014-02-28,0.0372871788076121,0.019036742107915654,0.018250436699696445,6,26,high_only,2.3988158117784844,1.906167431735795,1.2584496890674886
2014-03-31,0.009952386390759698,0.01659465785893814,-0.006642271468178444,7,26,high_only,2.422689753617568,1.9377996280873016,1.2502271744209568
